TimeStep,Station_PM,Speed
1539,20,68.2
1540,26,65.8
1540,27,65.0
1540,22,68.5
1540,11,70.4
1540,4,66.7
1540,0,69.7
1540,15,68.0
1540,24,67.4
1540,3,69.8
1540,12,69.4
1540,25,67.6
1540,1,69.7
1540,18,67.8
1540,20,67.2
1541,26,70.3
1541,27,67.8
1541,22,68.8
1541,11,68.7
1541,4,71.2
1541,0,69.6
1541,15,71.4
1541,24,68.4
1541,3,69.1
1541,12,70.9
1541,25,68.7
1541,1,68.3
1541,18,69.7
1541,20,67.0
1542,26,68.4
1542,27,65.5
1542,22,68.5
1542,11,67.5
1542,4,67.1
1542,0,70.5
1542,15,72.9
1542,24,70.3
1542,3,67.3
1542,12,67.5
1542,25,67.6
1542,1,68.3
1542,18,72.4
1542,20,67.5
1543,26,69.8
1543,27,66.6
1543,22,69.1
1543,11,68.4
1543,4,65.3
1543,0,70.1
1543,15,70.0
1543,24,68.5
1543,3,63.9
1543,12,67.5
1543,25,69.3
1543,1,68.7
1543,18,73.0
1543,20,69.4
1544,26,69.7
1544,27,67.0
1544,22,68.8
1544,11,67.6
1544,4,65.7
1544,0,70.7
1544,15,71.7
1544,24,68.1
1544,3,66.7
1544,12,70.0
1544,25,68.8
1544,1,69.7
1544,18,70.1
1544,20,72.2
1545,26,68.8
1545,27,65.9
1545,22,70.0
1545,11,64.4
1545,4,66.2
1545,0,70.2
1545,15,71.9
1545,24,69.0
1545,3,66.6
1545,12,65.9
1545,25,71.4
1545,1,70.6
1545,18,72.6
1545,20,69.4
1546,26,70.7
1546,27,69.6
1546,22,70.8
1546,11,63.2
1546,4,70.4
1546,0,68.9
1546,15,70.7
1546,24,69.7
1546,3,67.0
1546,12,63.5
1546,25,72.1
1546,1,71.3
1546,18,73.8
1546,20,71.9
1547,26,70.6
1547,27,72.1
1547,22,70.6
1547,11,63.9
1547,4,73.2
1547,0,68.8
1547,15,67.9
1547,24,69.4
1547,3,68.7
1547,12,64.3
1547,25,70.3
1547,1,68.1
1547,18,70.4
1547,20,70.9
1548,26,69.6
1548,27,69.4
1548,22,74.3
1548,11,64.0
1548,4,68.3
1548,0,67.6
1548,15,64.8
1548,24,68.4
1548,3,66.1
1548,12,63.4
1548,25,69.9
1548,1,68.2
1548,18,66.1
1548,20,69.7
1549,26,71.3
1549,27,68.4
1549,22,67.2
1549,11,68.2
1549,4,67.2
1549,0,68.3
1549,15,68.4
1549,24,73.2
1549,3,66.1
1549,12,66.4
1549,25,73.1
1549,1,68.4
1549,18,67.9
1549,20,67.0
1550,26,73.0
1550,27,73.3
1550,22,64.5
1550,11,71.5
1550,4,69.1
1550,0,68.5
1550,15,67.3
1550,24,69.3
1550,3,65.7
1550,12,69.1
1550,25,67.8
1550,1,69.1
1550,18,69.6
1550,20,66.8
1551,26,68.8
1551,27,65.7
1551,22,60.7
1551,11,68.6
1551,4,68.5
1551,0,69.6
