TimeStep,Station_PM,occu
71,0,0.04025
71,1,0.02175
71,2,
71,3,
71,4,0.041624999999999995
71,5,
71,6,
71,7,0.036875
71,8,
71,9,0.023875
71,10,
71,11,0.0465
71,12,
71,13,0.036500000000000005
71,14,0.027625
71,15,0.03225
71,16,0.0455
72,0,0.013875
72,1,0.03625
72,2,
72,3,
72,4,0.0315
72,5,
72,6,
72,7,0.04725
72,8,
72,9,0.016875
72,10,
72,11,0.02175
72,12,
72,13,0.01725
72,14,0.028875
72,15,0.038250000000000006
72,16,0.037375000000000005
73,0,0.029750000000000002
73,1,0.008375
73,2,
73,3,
73,4,0.030875
73,5,
73,6,
73,7,0.0235
73,8,
73,9,0.029875
73,10,
73,11,0.021625000000000002
73,12,
73,13,0.03825
73,14,0.02375
73,15,0.034
73,16,0.033875
74,0,0.036250000000000004
74,1,0.024125
74,2,
74,3,
74,4,0.0235
74,5,
74,6,
74,7,0.040625
74,8,
74,9,0.052333333333333336
74,10,
74,11,0.018375
74,12,
74,13,0.033875
74,14,0.029124999999999998
74,15,0.0245
74,16,0.030625
75,0,0.013499999999999998
75,1,0.03675
75,2,
75,3,
75,4,0.030000000000000002
75,5,
75,6,
75,7,0.026250000000000002
75,8,
75,9,0.033125
75,10,
75,11,0.025125
75,12,
75,13,0.017499999999999998
75,14,0.031125
75,15,0.036000000000000004
75,16,0.041375
76,0,0.04125
76,1,0.011125
76,2,
76,3,
76,4,0.0275
76,5,
76,6,
76,7,0.028749999999999998
76,8,
76,9,0.033
76,10,
76,11,0.0605
76,12,
76,13,0.024333333333333332
76,14,0.018000000000000002
76,15,0.03425
76,16,0.026375
77,0,0.021249999999999998
77,1,0.029750000000000002
77,2,
77,3,
77,4,0.024375
77,5,
77,6,
77,7,0.027125
77,8,
77,9,0.04675
77,10,
77,11,0.028625
77,12,
77,13,0.03216666666666667
77,14,0.015125
77,15,0.0185
77,16,0.03125
78,0,0.021249999999999998
78,1,0.02175
78,2,
78,3,
78,4,0.037500000000000006
78,5,
78,6,
78,7,0.036000000000000004
78,8,
78,9,0.024625
78,10,
78,11,0.046375
78,12,
78,13,0.056749999999999995
78,14,0.044
78,15,0.02275
78,16,0.01975
79,0,0.051500000000000004
79,1,0.017875000000000002
79,2,
79,3,
79,4,0.017375
79,5,
79,6,
79,7,0.014750000000000001
79,8,
79,9,0.029750000000000002
79,10,
79,11,0.034999999999999996
79,12,
79,13,0.033249999999999995
79,14,0.034125
79,15,0.047
79,16,0.020374999999999997
80,0,0.01125
80,1,0.03175
80,2,
80,3,
80,4,0.033625
80,5,
80,6,
80,7,0.037875000000000006
80,8,
80,9,0.039375
80,10,
80,11,0.021625
80,12,
80,13,0.015499999999999998
80,14,0.022375
80,15,0.041375
80,16,0.04525
81,0,0.041499999999999995
81,1,0.01975
81,2,
81,3,
81,4,0.032125
81,5,
81,6,
81,7,0.02475
81,8,
81,9,0.034
81,10,
81,11,0.027000000000000003
81,12,
81,13,0.053375000000000006
81,14,0.030625000000000003
81,15,0.03475
81,16,0.051875
82,0,0.022750000000000003
82,1,0.023375
82,2,
82,3,
82,4,0.014625
82,5,
82,6,
82,7,0.0145
82,8,
82,9,0.030875
82,10,
82,11,0.038375
82,12,
82,13,0.03375
82,14,0.033125
82,15,0.014625
82,16,0.014125000000000002
83,0,0.028249999999999997
83,1,0.028666666666666663
83,2,
83,3,
83,4,0.04083333333333333
83,5,
83,6,
83,7,0.047625
83,8,
83,9,0.048499999999999995
83,10,
83,11,0.023625
83,12,
83,13,0.017249999999999998
83,14,0.028875
83,15,0.060875
83,16,0.0475
84,0,0.033625
84,1,0.031125
84,2,
84,3,
84,4,0.042624999999999996
84,5,
84,6,
84,7,0.025625000000000002
84,8,
84,9,0.0195
84,10,
84,11,0.053375
84,12,
84,13,0.0455
84,14,0.02475
84,15,0.028375
84,16,0.03225
85,0,0.036500000000000005
85,1,0.01975
85,2,
85,3,
85,4,0.012875000000000001
85,5,
85,6,
85,7,0.023
85,8,
85,9,0.044125
85,10,
85,11,0.04066666666666666
85,12,
85,13,0.03875
85,14,0.029249999999999998
85,15,0.032
85,16,0.029750000000000006
86,0,0.034999999999999996
86,1,0.03075
86,2,
86,3,
86,4,0.0365
86,5,
86,6,
86,7,0.05375
86,8,
86,9,0.04575
86,10,
86,11,0.0275
86,12,
86,13,0.034374999999999996
86,14,0.030375
86,15,0.029625000000000002
86,16,0.033125
87,0,0.021125
87,1,0.035250000000000004
87,2,
87,3,
87,4,0.016
87,5,
87,6,
87,7,0.021124999999999998
87,8,
87,9,0.016625
87,10,
87,11,0.04675
87,12,
87,13,0.052000000000000005
87,14,0.024375
87,15,0.049375
87,16,0.036625000000000005
88,0,0.020375000000000004
88,1,0.018125
88,2,
88,3,
88,4,0.02725
88,5,
88,6,
88,7,0.031625
88,8,
88,9,0.04175
88,10,
88,11,0.038375
88,12,
88,13,0.020375
88,14,0.04325
88,15,0.025375
88,16,0.04675
89,0,0.021374999999999998
89,1,0.010000000000000002
89,2,
89,3,
89,4,0.031375
89,5,
89,6,
89,7,0.0235
89,8,
89,9,0.057375
89,10,
89,11,0.026999999999999996
89,12,
89,13,0.055999999999999994
89,14,0.020666666666666667
