TimeStep,Station_Number,k_t
9.0,207.0,-0.5082619
9.0,201.0,-0.6411729
9.0,192.0,-0.6417192
9.0,186.0,-0.53610444
9.0,173.0,-0.24788196
9.0,144.0,0.022169098
9.0,124.0,-0.38930404
9.0,122.0,-0.43960586
9.0,109.0,-0.25999063
9.0,107.0,-0.15220168
9.0,97.0,0.16649476
9.0,89.0,0.30140483
9.0,74.0,-0.4836957
9.0,136.0,-0.09980817
9.0,99.0,0.10984937
9.0,79.0,0.03780012
9.0,199.0,-0.66302663
9.0,297.0,-0.06562157
9.0,23.0,-0.05447621
9.0,0.0,0.20929618
9.0,17.0,0.18671307
9.0,5.0,0.39702883
9.0,12.0,0.3162152
9.0,7.0,-0.62249976
9.0,10.0,0.16238181
9.0,45.0,-0.048025098
9.0,157.0,-0.006432427
9.0,175.0,-0.28985456
9.0,247.0,0.076901555
9.0,234.0,0.05639255
9.0,268.0,0.030668696
9.0,264.0,0.04198227
9.0,226.0,-0.017393995
9.0,229.0,0.018720215
9.0,212.0,-0.35421777
9.0,196.0,-0.6716345
9.0,220.0,-0.1283475
9.0,170.0,-0.18889253
9.0,148.0,0.037417695
9.0,77.0,-0.17241395
9.0,161.0,-0.048661344
9.0,132.0,-0.19137527
9.0,128.0,-0.28819793
9.0,117.0,-0.5242195
9.0,92.0,0.26951572
9.0,69.0,-0.54911816
9.0,65.0,-0.27438265
9.0,22.0,0.029638816
9.0,52.0,0.61537755
9.0,60.0,0.030965162
9.0,56.0,0.12807436
9.0,58.0,0.09154618
9.0,75.0,-0.39375907
10.0,294.0,-0.018427277
10.0,181.0,-0.06988887
10.0,152.0,0.03675378
10.0,118.0,-0.4016064
10.0,286.0,0.0094661275
10.0,281.0,0.024066124
10.0,276.0,0.03760033
10.0,272.0,0.047405135
10.0,258.0,0.062003694
10.0,256.0,0.059023034
10.0,252.0,0.04618962
10.0,224.0,-0.47641525
10.0,216.0,-0.6014105
10.0,208.0,-0.55976874
10.0,207.0,-0.54448754
10.0,201.0,-0.42722884
10.0,192.0,-0.23739088
10.0,186.0,-0.13552746
10.0,173.0,0.0049012536
10.0,144.0,-0.102274686
10.0,124.0,-0.4883934
10.0,122.0,-0.47489905
10.0,109.0,-0.01559601
10.0,107.0,0.06322665
10.0,97.0,0.2806204
10.0,89.0,0.27854052
10.0,74.0,-0.47906455
10.0,136.0,-0.32083333
10.0,99.0,0.24860603
10.0,79.0,-0.511911
10.0,199.0,-0.38349995
10.0,297.0,-0.032243274
10.0,23.0,0.11714923
10.0,0.0,0.16971342
10.0,17.0,0.17964374
10.0,5.0,0.100304045
10.0,12.0,0.17956081
10.0,7.0,-0.48996454
10.0,10.0,0.08317375
10.0,45.0,-0.15149604
10.0,157.0,0.06433266
10.0,175.0,-0.010925935
10.0,247.0,0.01269576
10.0,234.0,-0.20975384
10.0,268.0,0.055663537
10.0,264.0,0.061402123
10.0,226.0,-0.42584217
10.0,229.0,-0.34404922
10.0,212.0,-0.6007081
10.0,196.0,-0.31841186
10.0,220.0,-0.55791014
10.0,170.0,0.025772598
10.0,148.0,-0.016806748
10.0,77.0,-0.5742426
10.0,161.0,0.06483096
10.0,132.0,-0.41397366
10.0,128.0,-0.47425687
10.0,117.0,-0.37267873
10.0,92.0,0.31182015
10.0,69.0,-0.12520774
10.0,65.0,0.055796042
10.0,22.0,0.1673604
10.0,52.0,0.7186661
10.0,60.0,0.12271482
10.0,56.0,0.13962837
10.0,58.0,0.1273307
10.0,75.0,-0.53038746
11.0,294.0,0.020187117
11.0,181.0,0.064180695
11.0,152.0,-0.11021768
11.0,118.0,-0.10347849
11.0,286.0,0.03344424
11.0,281.0,0.03756918
11.0,276.0,0.03619384
11.0,272.0,0.028570281
11.0,258.0,-0.08624607
11.0,256.0,-0.11809084
11.0,252.0,-0.19331314
11.0,224.0,-0.44238874
11.0,216.0,-0.31282094
11.0,208.0,-0.17919113
11.0,207.0,-0.16407898
11.0,201.0,-0.08352353
11.0,192.0,0.004233105
11.0,186.0,0.04263242
11.0,173.0,0.08233755
11.0,144.0,-0.33408806
11.0,124.0,-0.24653193
11.0,122.0,-0.20089202
11.0,109.0,0.1594015
11.0,107.0,0.2025357
11.0,97.0,0.29016432
11.0,89.0,-0.08702209
11.0,74.0,-0.06686851
11.0,136.0,-0.43030092
11.0,99.0,0.28933516
11.0,79.0,-0.41466725
11.0,199.0,-0.06064876
11.0,297.0,0.0127321705
11.0,23.0,0.19605102
11.0,0.0,0.1346121
11.0,17.0,0.11977897
11.0,5.0,-0.040052295
11.0,12.0,0.11578044
11.0,7.0,0.11814203
11.0,10.0,0.051720142
11.0,45.0,-0.1526425
11.0,157.0,-0.0019653318
11.0,175.0,0.07956067
11.0,247.0,-0.30104467
11.0,234.0,-0.4991317
11.0,268.0,0.012281983
11.0,264.0,-0.015777186
11.0,226.0,-0.46694735
11.0,229.0,-0.49296638
11.0,212.0,-0.24376705
11.0,196.0,-0.030018419
11.0,220.0,-0.38152653
11.0,170.0,0.083871655
11.0,148.0,-0.22377703
11.0,77.0,-0.26581764
11.0,161.0,0.049347416
11.0,132.0,-0.3990059
11.0,128.0,-0.3316439
11.0,117.0,-0.07705757
11.0,92.0,0.158652
11.0,69.0,0.095982805
11.0,65.0,0.12335701
11.0,22.0,0.19098756
11.0,52.0,0.7051655
11.0,60.0,0.10775301
11.0,56.0,0.12513447
11.0,58.0,0.1041797
11.0,75.0,-0.12546921
12.0,294.0,0.016865589
12.0,181.0,0.10201034
12.0,152.0,-0.340534
12.0,118.0,0.065475814
12.0,286.0,-0.018602181
12.0,281.0,-0.058355805
12.0,276.0,-0.117151305
12.0,272.0,-0.17803316
12.0,258.0,-0.4014364
12.0,256.0,-0.41881934
12.0,252.0,-0.43336856
12.0,224.0,-0.118823715
12.0,216.0,-0.043359064
12.0,208.0,0.011010673
12.0,207.0,0.016762521
12.0,201.0,0.04770124
12.0,192.0,0.08344776
12.0,186.0,0.098169
12.0,173.0,0.08073336
12.0,144.0,-0.3898176
12.0,124.0,-0.036118582
12.0,122.0,-0.00347762
12.0,109.0,0.25039443
12.0,107.0,0.27399343
12.0,97.0,0.09251479
12.0,89.0,-0.56424344
12.0,74.0,0.101647526
12.0,136.0,-0.25643194
12.0,99.0,0.19760461
12.0,79.0,-0.0264843
12.0,199.0,0.056780893
12.0,297.0,0.024934702
12.0,23.0,0.15673257
12.0,0.0,0.105579324
12.0,17.0,0.0155046955
12.0,5.0,-0.1104926
12.0,12.0,0.13308941
12.0,7.0,0.07318787
12.0,10.0,-0.053530693
12.0,45.0,-0.13020554
12.0,157.0,-0.21046032
12.0,175.0,0.09052643
12.0,247.0,-0.414026
12.0,234.0,-0.24921034
12.0,268.0,-0.24739471
12.0,264.0,-0.31754225
12.0,226.0,-0.14184606
12.0,229.0,-0.17952885
12.0,212.0,-0.014103231
12.0,196.0,0.06924339
12.0,220.0,-0.07791944
12.0,170.0,0.05775185
12.0,148.0,-0.39611053
12.0,77.0,0.0463943
12.0,161.0,-0.09971417
12.0,132.0,-0.17641011
12.0,128.0,-0.10306247
12.0,117.0,0.0844148
12.0,92.0,-0.38276348
12.0,69.0,0.11788914
12.0,65.0,0.10092372
12.0,22.0,0.12392427
12.0,52.0,0.32021642
12.0,60.0,0.06885656
12.0,56.0,0.102463216
12.0,58.0,0.0704681
12.0,75.0,0.088814214
13.0,294.0,-0.19401376
13.0,181.0,0.08472757
13.0,152.0,-0.3632001
13.0,118.0,0.14988212
13.0,286.0,-0.31371343
13.0,281.0,-0.38445947
13.0,276.0,-0.4310002
13.0,272.0,-0.4411399
13.0,258.0,-0.30559286
13.0,256.0,-0.27561015
13.0,252.0,-0.21644528
13.0,224.0,0.022185044
13.0,216.0,0.0484846
13.0,208.0,0.07087413
13.0,207.0,0.073625244
13.0,201.0,0.08992056
13.0,192.0,0.10856024
13.0,186.0,0.10675537
13.0,173.0,-0.024120744
13.0,144.0,-0.21460792
