TimeStep,Station_Number,k_x
7.0,10.0,-0.084971696
7.0,45.0,-0.14431593
7.0,157.0,0.009575743
7.0,175.0,0.0049911793
7.0,247.0,-0.014458414
7.0,234.0,-0.015907383
7.0,268.0,-0.01956707
7.0,264.0,-0.017599698
7.0,226.0,-0.015938887
7.0,229.0,-0.016150245
7.0,212.0,-0.008961076
7.0,196.0,0.0052814316
7.0,220.0,-0.01429905
7.0,170.0,0.0126291495
7.0,148.0,-0.022356197
7.0,77.0,-0.050583087
7.0,161.0,0.018714344
7.0,132.0,-0.07081108
7.0,128.0,-0.07460472
7.0,117.0,-0.010322586
7.0,92.0,-0.0028564222
7.0,69.0,-0.0045356527
7.0,65.0,0.07305449
7.0,22.0,0.3975298
7.0,52.0,-1.4385934
7.0,60.0,0.09842932
7.0,56.0,-0.15145586
7.0,58.0,0.019980973
7.0,75.0,-0.049238544
8.0,294.0,-0.043695156
8.0,181.0,0.035050616
8.0,152.0,-0.030437896
8.0,118.0,-0.0330699
8.0,286.0,-0.034237362
8.0,281.0,-0.030056294
8.0,276.0,-0.026515195
8.0,272.0,-0.024026375
8.0,258.0,-0.017974265
8.0,256.0,-0.017524356
8.0,252.0,-0.01697363
8.0,224.0,-0.018315054
8.0,216.0,-0.013560485
8.0,208.0,-0.002054982
8.0,207.0,-0.00011154264
8.0,201.0,0.013184058
8.0,192.0,0.032110497
8.0,186.0,0.037388228
8.0,173.0,0.023319935
8.0,144.0,-0.05728234
8.0,124.0,-0.06753026
8.0,122.0,-0.06452468
8.0,109.0,0.2611575
8.0,107.0,0.26247358
8.0,97.0,0.044133127
8.0,89.0,-0.045067668
8.0,74.0,-0.0071502943
8.0,136.0,-0.069746174
8.0,99.0,0.08361488
8.0,79.0,-0.054640215
8.0,199.0,0.017882057
8.0,297.0,-0.048904184
8.0,23.0,0.356413
8.0,0.0,-0.03311897
8.0,17.0,0.108317256
8.0,5.0,-1.6116818
8.0,12.0,-0.021356357
8.0,7.0,-0.2383583
8.0,10.0,-0.044371657
8.0,45.0,-0.09175585
8.0,157.0,-0.010974016
8.0,175.0,0.026468279
8.0,247.0,-0.016906984
8.0,234.0,-0.018590106
8.0,268.0,-0.021839738
8.0,264.0,-0.019993052
8.0,226.0,-0.018724885
8.0,229.0,-0.01894157
8.0,212.0,-0.008734643
8.0,196.0,0.024633612
8.0,220.0,-0.01665246
8.0,170.0,0.019115364
8.0,148.0,-0.045130823
8.0,77.0,-0.043647744
8.0,161.0,0.0026052687
8.0,132.0,-0.06962807
8.0,128.0,-0.06839431
8.0,117.0,-0.014740951
8.0,92.0,-0.024961624
8.0,69.0,0.095900744
8.0,65.0,0.13018236
8.0,22.0,0.2548631
8.0,52.0,-1.694799
8.0,60.0,0.032064445
8.0,56.0,-0.25029957
8.0,58.0,-0.082886316
8.0,75.0,-0.022463951
9.0,294.0,-0.047009535
9.0,181.0,0.023167694
9.0,152.0,-0.042481273
9.0,118.0,-0.015923128
9.0,286.0,-0.03699128
9.0,281.0,-0.032796
9.0,276.0,-0.029310396
9.0,272.0,-0.026854448
9.0,258.0,-0.020576976
9.0,256.0,-0.020041805
9.0,252.0,-0.019273901
9.0,224.0,-0.011718102
9.0,216.0,0.0022546314
9.0,208.0,0.023914283
9.0,207.0,0.026746813
9.0,201.0,0.041213922
9.0,192.0,0.04598531
9.0,186.0,0.036329173
9.0,173.0,0.0014286581
9.0,144.0,-0.059011795
9.0,124.0,-0.046985995
9.0,122.0,-0.043361727
9.0,109.0,0.21886961
9.0,107.0,0.22446343
9.0,97.0,0.015976138
9.0,89.0,-0.060472332
9.0,74.0,0.09555997
9.0,136.0,-0.056089103
9.0,99.0,0.058348022
9.0,79.0,-0.0073336195
9.0,199.0,0.044359
9.0,297.0,-0.052660353
9.0,23.0,0.25213805
9.0,0.0,-0.00031219702
9.0,17.0,0.098211296
9.0,5.0,-0.69737774
9.0,12.0,-0.03126452
9.0,7.0,1.2965629
9.0,10.0,0.07007585
9.0,45.0,-0.03225525
9.0,157.0,-0.027242806
9.0,175.0,0.006171886
9.0,247.0,-0.018820101
9.0,234.0,-0.017995005
9.0,268.0,-0.024665056
9.0,264.0,-0.022768361
9.0,226.0,-0.013794288
9.0,229.0,-0.01603417
9.0,212.0,0.012528246
9.0,196.0,0.04690834
9.0,220.0,-0.0059159063
9.0,170.0,-0.0040341746
9.0,148.0,-0.052880727
9.0,77.0,0.033974625
9.0,161.0,-0.01684415
9.0,132.0,-0.051508132
9.0,128.0,-0.048985597
9.0,117.0,-0.0011352301
9.0,92.0,-0.047130894
9.0,69.0,0.117629126
9.0,65.0,0.07358219
9.0,22.0,0.18196079
9.0,52.0,-2.0004623
9.0,60.0,-0.037805937
9.0,56.0,-0.28495878
9.0,58.0,-0.13526742
9.0,75.0,0.0775115
10.0,294.0,-0.051350616
10.0,181.0,0.005228278
10.0,152.0,-0.04029496
10.0,118.0,-0.025748506
10.0,286.0,-0.040213395
10.0,281.0,-0.035815798
10.0,276.0,-0.03221214
10.0,272.0,-0.029626621
10.0,258.0,-0.02180223
10.0,256.0,-0.020787848
10.0,252.0,-0.01873406
10.0,224.0,0.013841167
10.0,216.0,0.025936108
10.0,208.0,0.031878933
10.0,207.0,0.032165736
10.0,201.0,0.03203725
10.0,192.0,0.025627922
10.0,186.0,0.016149798
10.0,173.0,-0.012106034
10.0,144.0,-0.04247889
10.0,124.0,-0.032267135
10.0,122.0,-0.03423769
10.0,109.0,0.16469783
10.0,107.0,0.18157211
10.0,97.0,-0.0041651186
10.0,89.0,-0.05605843
10.0,74.0,0.09905018
10.0,136.0,-0.030427486
10.0,99.0,0.03411195
10.0,79.0,0.09288344
10.0,199.0,0.031305633
10.0,297.0,-0.05783713
10.0,23.0,0.16551769
10.0,0.0,0.061176717
10.0,17.0,0.09258102
10.0,5.0,-0.25702897
10.0,12.0,0.018288206
10.0,7.0,1.5433171
10.0,10.0,0.13544819
10.0,45.0,0.024521977
10.0,157.0,-0.03058439
10.0,175.0,-0.008445825
10.0,247.0,-0.015863335
10.0,234.0,-0.0029692668
10.0,268.0,-0.027217755
10.0,264.0,-0.024958175
10.0,226.0,0.010300389
10.0,229.0,0.005015731
10.0,212.0,0.02975133
10.0,196.0,0.029509163
10.0,220.0,0.020487146
10.0,170.0,-0.015999686
10.0,148.0,-0.04415422
10.0,77.0,0.10836244
10.0,161.0,-0.023297694
10.0,132.0,-0.026926648
10.0,128.0,-0.027741171
10.0,117.0,-0.017646905
10.0,92.0,-0.053700328
10.0,69.0,0.049383435
10.0,65.0,0.018584525
10.0,22.0,0.12106137
10.0,52.0,-2.2998095
10.0,60.0,-0.055300843
10.0,56.0,-0.30000088
10.0,58.0,-0.14482036
10.0,75.0,0.10547204
